time	I1	I2	I3		
0.0276132148	1.085989	-0.3069686	-0.7935867		
0.0276781870	1.085989	-0.2589542	-0.7833364		
0.0277431593	1.056857	-0.2422301	-0.8076134		
0.0278081316	1.022869	-0.2309008	-0.8362062		
0.0278731039	1.023948	-0.17911	-0.824877		
0.0279380761	0.999671	-0.1596884	-0.8475354		
0.0280030484	0.9948156	-0.1181478	-0.8432196		
0.0280680207	0.9694597	-0.1008842	-0.8631806		
0.0281329929	0.9397879	-0.08847601	-0.8858391		
0.0281979652	0.9376299	-0.04693545	-0.8761284		
0.0282629375	0.9128135	-0.03021132	-0.8944709		
0.0283279097	0.913353	0.01186873	-0.8869181		
0.0283928820	0.8852996	0.02643491	-0.9090371		
0.0284578543	0.8674965	0.05017237	-0.9236032		
0.0285228266	0.8583252	0.08362062	-0.9295376		
0.0285877988	0.8340483	0.09710782	-0.9527355		
0.0286527711	0.8351272	0.1429643	-0.9484197		
0.0287177434	0.8119293	0.1596884	-0.9694597		
0.0287827156	0.8000606	0.1931367	-0.9791705		
0.0288476879	0.7838759	0.22119	-0.9931972		
0.0289126602	0.7471907	0.2309008	-1.029343		
0.0289776324	0.7515066	0.2864681	-1.015856		
0.0290426047	0.7283087	0.3075081	-1.034198		
0.0291075770	0.7223743	0.3495882	-1.033659		
0.0291725493	0.6959394	0.3684702	-1.061173		
0.0292375215	0.6775967	0.3992211	-1.077897		
0.0293024938	0.666807	0.4359062	-1.089766		
0.0293674661	0.6425301	0.4596437	-1.117279		
0.0294324383	0.6425301	0.5076581	-1.121056		
0.0294974106	0.6198716	0.5227637	-1.156662		
0.0295623829	0.6312009	0.5702386	-1.155044		
0.0296273551	0.6085423	0.5853444	-1.186334		
0.0296923274	0.5901998	0.6020685	-1.214927		
0.0297572997	0.5918182	0.6419905	-1.214387		
0.0298222720	0.5643043	0.6506224	-1.239743		
0.0298872442	0.5653833	0.6943209	-1.222479		
0.0299522165	0.5313956	0.7029527	-1.228414		
0.0300171888	0.5098161	0.7207558	-1.22194		
0.0300821610	0.4882365	0.7396379	-1.212769		
0.0301471333	0.4493934	0.7369404	-1.218164		
0.0302121056	0.445617	0.7741651	-1.182557		
0.0302770778	0.4116293	0.7725466	-1.17932		
0.0303420501	0.3862733	0.7838759	-1.165294		
0.0304070224	0.3657728	0.7984421	-1.145872		
0.0304719947	0.3274691	0.7935867	-1.141556		
0.0305369669	0.3172189	0.8264955	-1.098397		
0.0306019392	0.2778363	0.8221796	-1.092463		
0.0306669115	0.2411511	0.824877	-1.081134		
0.0307318837	0.2238875	0.8475354	-1.048225		
0.0307968560	0.1845049	0.845917	-1.041212		
0.0308618283	0.1726361	0.8739703	-1.005605		
0.0309268005	0.1364904	0.8723519	-1.000211		
0.0309917728	0.09872628	0.868036	-0.9975131		
0.0310567451	0.09063396	0.8944709	-0.9608279		
0.0311217174	0.05934367	0.892313	-0.9554331		
0.0311866896	0.05233033	0.9198269	-0.9203663		
0.0312516619	0.01456617	0.9149715	-0.9214453		
0.0313166342	-0.02373747	0.9128135	-0.9209058		
0.0313816064	-0.03290876	0.9424854	-0.8858391		
0.0314465787	-0.06959394	0.9424854	-0.8826022		
0.0315115510	-0.07876523	0.9732361	-0.8464565		
0.0315765232	-0.1176084	0.9694597	-0.8426801		
0.0316414955	-0.155912	0.9721572	-0.8345878		
0.0317064678	-0.1753336	0.9975131	-0.8006001		
0.0317714401	-0.2190321	0.9958946	-0.7957446		
0.0318364123	-0.2303613	1.029882	-0.7509671		
0.0319013846	-0.2735204	1.028264	-0.7450328		
0.0319663569	-0.3075081	1.039593	-0.7283087		
0.0320313291	-0.3334035	1.057396	-0.7045712		
0.0320963014	-0.380339	1.055778	-0.7051107		
0.0321612737	-0.3922077	1.096779	-0.6641096		
0.0322262459	-0.4337482	1.102713	-0.6608726		
0.0322912182	-0.4607227	1.125372	-0.6425301		
0.0323561905	-0.489855	1.139938	-0.6312009		
0.0324211628	-0.5249217	1.140477	-0.6285034		
